t,resid2
1,-1.4562366640444409
2,-0.1841170240990735
3,0.056447392962517995
4,-1.5515608705772106
5,-1.829030970648292
6,0.19374487899824366
7,-2.366447378622918
8,-2.2879833216677326
9,-0.5334447557554718
10,-1.349375856657752
11,-1.7726282960572535
12,-1.5050488072875572
13,0.2825760399850541
14,-0.5061553117352648
15,-0.9019421528527589
16,-1.1883099640291706
17,1.2380371715666536
18,3.039495165146014
19,3.208698104869785
20,2.7185744465927506
21,2.7030055152405232
22,3.4455339046150693
23,1.576705935726947
24,2.2875895078795114
25,0.39188411009698054
26,-0.4129241373101564
27,0.5291680110223629
28,-1.0992071381203568
29,-1.0310348843059334
30,-1.7007502339819753
31,-1.596059585275758
32,-4.059669698042062
33,-4.879479646031752
34,-4.42183960147793
35,-2.4504282660719032
36,-2.072126243432021
37,-1.6110764921309233
38,-0.5790707478154635
39,-1.3719838580560468
40,-0.802663388285981
41,-1.463825242197177
42,-2.8811579730514065
43,-2.606546185192412
44,-1.4350400525038456
45,-0.7907856287585187
46,-0.6571727207939828
47,1.848074356230125
48,1.7483981940034177
49,2.240306553596116
50,3.8694867914854054
51,1.5599849438773337
52,0.08399730676173345
53,1.760348649887078
54,0.4766788325012534
55,0.3425140706404388
56,1.282364874000005
57,1.8094850340226643
58,3.069846580361757
59,3.756717330802595
60,3.8464605619396526
61,2.072508236973679
62,2.3104570109237654
63,2.009169553734141
64,0.14350814202876183
65,1.4886682253011951
66,1.8883174114913954
67,1.4271494828207345
68,0.8035330303363901
69,-0.6285467571090821
70,-0.3039397437996074
71,0.20927219770367245
72,-0.7045713142236316
73,0.6042467208078595
74,-0.6727052128669255
75,-2.655474831048261
76,-0.9788829681149611
77,-1.1636905642756332
78,-1.0241181729728845
79,-1.6300843813737016
80,-2.852163439932503
81,-0.9066809627758232
82,-1.3908338278452916
83,0.5967146309816265
84,1.2345733087987654
85,0.5917426198675919
86,-0.6606830156060344
87,-1.245720192170685
88,-2.1637175833347246
89,0.4482624996097604
90,0.4854170680939234
91,1.499888942408015
