user_id,platform,cluster_id,baseline_activity,signup_cohort,pre_metric
1,android,96,3.0424081811554244,cohort_A,2.2992720210726096
2,ios,148,2.6432771247632174,cohort_A,1.994156939288617
3,ios,283,2.2925718165283246,cohort_A,2.213641476105211
4,android,83,4.697761676467937,cohort_A,4.2286511565480716
5,web,235,5.820368651821141,cohort_A,5.214387486931727
6,android,239,2.539781008209129,cohort_B,2.3209759181485605
7,web,287,1.6971052095362427,cohort_C,1.459754832548574
8,android,393,2.067273476186113,cohort_C,1.9000186022598444
9,android,95,0.8720005518115755,cohort_A,0.9208400570832548
10,android,297,2.862420406413959,cohort_B,2.5530251032674003
11,ios,457,7.84121135275876,cohort_A,8.266865138264432
12,web,99,4.306543877744703,cohort_A,4.369161327707953
13,android,371,0.8897024550436311,cohort_C,1.36011115098723
14,ios,310,3.2222205862607898,cohort_B,3.3833014194203512
15,android,313,1.2921083767864814,cohort_C,0.48564677020508884
16,web,305,2.009298397378147,cohort_A,0.8186040656953166
17,ios,399,7.220178743209693,cohort_A,7.101243308815912
18,ios,272,6.530376763345987,cohort_A,6.097817637308388
19,android,378,1.9830443089791776,cohort_C,2.8330843368213223
20,android,60,2.2554895382684355,cohort_A,1.1974566848458952
21,android,44,1.7303762483843992,cohort_B,1.056409641720209
22,web,7,1.8580473524239298,cohort_A,0.7353821862638679
23,web,165,7.50962815783256,cohort_A,7.724109700146203
24,android,464,2.0509769547096544,cohort_B,2.482287020901975
25,web,180,4.274005739355872,cohort_A,3.9199880079847804
26,ios,378,2.8496937570417074,cohort_A,2.593223634995618
27,android,12,2.991338221612467,cohort_C,3.8955388056565847
28,ios,40,2.766524606746061,cohort_A,3.1042488155121273
29,ios,291,14.444567194838797,cohort_B,15.230574135878433
30,android,230,1.0213053957949392,cohort_A,0.7943910834668569
31,ios,393,2.698676417657933,cohort_B,2.4696612298253804
32,android,200,1.258236611732519,cohort_B,1.8127661809892017
33,android,242,3.3702155109575247,cohort_B,3.683221122340788
34,android,212,1.6340639278943359,cohort_B,1.329660227978367
35,android,249,0.8159411396450855,cohort_C,0.178905890020714
