iter,aa_effect
1,0.004399472063352408
2,0.0019997600287965517
3,0.004319481662200544
4,-0.0023997120345558565
5,-0.00575930888293405
6,0.0014398272207335056
7,0.0032796064472263298
8,0.0033595968483781935
9,0.0008798944126704872
10,-0.0021597408311002653
11,0.0010398752149742008
12,-0.0017597888253409605
13,0.0011198656161260645
14,-0.0011198656161260645
15,-0.0034395872495300572
16,-0.002879654441467025
17,-0.0001599808023037136
18,-0.002239731232252129
19,0.0013598368195816418
20,-0.007039155301363828
21,0.0011998560172779282
22,-0.001919769627644688
23,-7.999040115186373e-05
24,-0.0029596448426188887
25,0.0004799424069111685
26,-0.0010398752149742008
27,0.00023997120345557732
28,-0.003839539255289362
29,0.0027996640403151613
30,-0.002639683238011434
31,-0.0009598848138223509
32,0.00023997120345557732
33,0.0007199136103667597
34,-0.002639683238011434
35,0.001599808023037233
36,-0.0037595488541374983
37,-0.00031996160460744105
38,-0.0023197216334039927
39,-0.00023997120345557732
40,0.0023197216334039927
41,-0.0023197216334039927
42,-0.003919529656441226
43,-0.002239731232252129
44,-0.0027996640403151613
45,-0.0014398272207335056
46,0.003519577650681921
47,0.0011198656161260645
48,0.00023997120345557732
49,0.0014398272207335056
50,0.0016797984241890968
51,-0.0005599328080630323
52,-0.005679318481782186
53,0.006719193696756387
54,-0.005119385673719154
55,-0.0009598848138223509
56,-0.0033595968483781935
57,0.00255969283685957
58,-0.004479462464504258
59,-0.00031996160460744105
60,0.0027996640403151613
61,-0.0005599328080630323
62,0.0023997120345558565
63,-0.0029596448426188887
64,0.0004799424069111685
65,0.00023997120345557732
66,-0.0019997600287965517
67,-0.0007199136103667597
68,-0.0034395872495300572
69,0.00255969283685957
70,0.0020797504299484154
71,-0.0007199136103667597
72,0.0016797984241890968
73,-0.0011198656161260645
74,0.000639923209214896
75,0.001599808023037233
76,-0.0011198656161260645
77,-0.001279846418429778
78,0.0005599328080630323
79,0.0039995200575930895
80,-0.004079510458744953
81,0.0036795584529856346
82,0.00031996160460744105
83,0.0011198656161260645
84,-0.0011198656161260645
85,0.0011198656161260645
86,0.0008798944126704872
87,-0.0009598848138223509
88,0.0015198176218853693
89,0.000639923209214896
90,0.002239731232252129
91,0.001279846418429778
92,0.004319481662200544
93,0.0013598368195816418
94,-0.0027196736391632975
95,-0.002879654441467025
96,0.0034395872495300572
97,0.0034395872495300572
98,-0.0021597408311002653
99,-0.0007999040115186234
100,-0.00255969283685957
101,0.001919769627644688
102,0.0007199136103667597
103,-0.004399472063352408
104,0.007119145702515692
105,0.004159500859896817
106,-0.004399472063352408
107,0.0008798944126704872
108,0.0021597408311002653
109,0.0017597888253409605
110,-0.0007199136103667597
111,-0.0010398752149742008
112,0.0036795584529856346
113,-0.0007999040115186234
114,-0.001279846418429778
115,0.0039995200575930895
116,-0.004159500859896817
117,0.002639683238011434
118,0.0004799424069111685
119,0.00255969283685957
120,0.0010398752149742008
121,0.0
122,0.0023997120345558565
123,-0.000639923209214896
124,0.0014398272207335056
125,-0.0003999520057593048
126,0.0009598848138223509
127,0.001599808023037233
128,-0.0004799424069111685
129,-0.0005599328080630323
130,-0.0007199136103667597
131,0.00319961604607448
132,0.001279846418429778
133,-0.003519577650681921
134,0.0037595488541374983
135,-0.0003999520057593048
136,-0.003599568051833771
137,-0.005199376074871018
138,-0.0013598368195816418
139,0.004559452865656122
140,0.003519577650681921
141,0.0017597888253409605
142,0.0036795584529856346
143,-0.0019997600287965517
144,-0.0027196736391632975
145,0.004399472063352408
146,0.0003999520057593048
147,-0.0033595968483781935
148,0.0030396352437707524
149,0.007759068911730602
150,0.0009598848138223509
151,-0.0023997120345558565
152,-0.0016797984241890968
153,0.0013598368195816418
154,-0.004719433667959835
155,-0.0039995200575930895
156,-0.0004799424069111685
157,-0.0030396352437707524
158,0.0004799424069111685
159,-0.0023197216334039927
160,0.0052793664760228814
161,-0.002639683238011434
162,0.000639923209214896
163,-0.0004799424069111685
164,-0.0029596448426188887
165,0.0007999040115186234
166,0.0029596448426188887
167,-0.0005599328080630323
168,0.00319961604607448
169,0.0011198656161260645
170,0.00031996160460744105
171,0.0010398752149742008
172,-0.00255969283685957
173,0.00023997120345557732
174,0.00023997120345557732
175,0.00023997120345557732
176,-0.0010398752149742008
177,-0.004479462464504258
178,-0.0021597408311002653
179,-0.0027196736391632975
180,-0.0011998560172779282
181,0.002879654441467025
182,0.0027196736391632975
183,-0.0003999520057593048
184,0.001279846418429778
185,-0.0007999040115186234
186,0.002879654441467025
187,-0.004319481662200544
188,-0.001279846418429778
189,-0.004159500859896817
190,0.0034395872495300572
191,0.0009598848138223509
192,0.0034395872495300572
193,-0.0008798944126704872
194,0.002639683238011434
195,0.0021597408311002653
196,-0.006719193696756387
197,-0.0030396352437707524
198,-0.002879654441467025
199,-0.0015198176218853693
200,0.00023997120345557732
