t,y2
1,3.944369396699439
2,5.243122494108165
3,5.510320368633115
4,3.928945562556745
5,3.6781089199490227
6,5.727518227058917
7,3.193959426901114
8,3.2990569413196584
9,5.080228964695277
10,4.290931321256356
11,3.894312339320213
12,4.188525285553268
13,6.002783590289239
14,5.240685696032278
15,4.871532312378143
16,4.611797958665091
17,7.064778551724273
18,8.892870002766992
19,9.088706399954122
20,8.625216199140446
21,8.636280725251577
22,9.405442572089482
23,7.563248060664719
24,8.300765090280642
25,6.43169314996147
26,5.653518360017692
27,6.62224396581357
28,5.020502274134209
29,5.115307985411991
30,4.472226093199308
31,4.603550199368883
32,2.1665735440659386
33,1.3733970535396072
34,1.8576705555567878
35,3.8557153484261737
36,4.260650828529414
37,4.748334037293871
38,5.806973239072689
39,5.040693586295465
40,5.63664751352889
41,5.002119117081052
42,3.6114198436901814
43,3.912665089012535
44,5.11080467916446
45,5.781692560373146
46,5.94193892580104
47,8.473819460288507
48,8.400776755525158
49,8.919318572581215
50,10.575132267933864
51,8.29226387778915
52,6.842909698136909
53,8.545894498725612
54,7.288858138803146
55,7.181326834405691
56,8.147811095228615
57,8.701564712714633
58,9.988559716517084
59,10.702063924421282
60,10.818440613021698
61,9.071121745519083
62,9.335703976932528
63,9.061049977206263
64,7.222022022964242
65,8.593815563700034
66,9.020098207353593
67,8.585563736146291
68,7.988580741125305
69,6.583134411143192
70,6.934374881916026
71,7.474220280882664
72,6.587010226418719
73,7.922461718913568
74,6.672143242702142
75,4.716007081984165
76,6.419232402380824
77,6.261058263683511
78,6.427264112449618
79,5.84793136151216
80,4.652485760416718
81,6.6246016950367554
82,6.167082287430645
83,8.181264203720923
84,8.84575633900142
85,8.229559107533605
86,7.003766929523338
87,6.445363210422046
88,5.553999276721365
89,8.19261281712921
90,8.256400843076731
91,9.297506174854181
92,7.6682775821304086
93,7.90224331619481
94,9.082044425954686
95,8.461522557532998
96,9.369756377071491
97,7.942749370797852
98,6.601090483479804
99,7.345218474687989
100,7.15223742144344
101,8.03623275535441
102,6.08678663499536
103,7.322354611717038
104,10.142569886057094
105,9.64230143311134
106,9.333368203743346
107,9.25457563744619
108,7.1614560172928545
109,7.88723865265995
110,6.4075192454789995
111,6.482959835985445
112,8.21758942659282
113,7.547975113844539
114,8.289730324950805
115,9.365036797669474
116,9.445018454348105
117,7.862815370666471
118,7.722136252648438
119,9.916013531874615
120,7.584464385908491
121,7.592562275565191
122,7.329813635185786
123,7.813107589486478
124,8.810546309302088
125,10.42660069999862
126,9.767218132989807
127,10.362754929719177
128,10.504306342154555
129,10.592577054487716
130,9.628008859339316
131,8.478685175728586
132,7.5214707691757425
133,7.1546658674826835
134,7.965185976478239
135,9.01983887548701
136,9.380848004472153
137,8.786680907158372
138,10.703480790301255
139,11.861476216357481
140,10.864607049517936
141,9.655023881152788
142,9.70898286502256
143,10.894035793821272
144,10.855791822620072
145,11.058392571875098
146,10.449214306630697
147,10.668181625175254
148,11.928180670337579
149,11.096466721275473
150,10.863157773464478
151,10.806184806647988
152,10.800863960757026
153,9.108759094496543
154,7.382200664998513
155,6.951995427827043
156,7.824438866271951
157,8.872185315707176
158,8.580964427006757
159,10.277980803122373
160,10.037809628015594
161,10.02867321924632
162,9.815041043882077
163,9.990307575658225
164,10.699704755787272
165,11.200432004752784
166,10.019401062954998
167,11.563214573694776
168,10.109884472844163
169,10.201640368723735
170,9.92433370302045
171,8.949258599946848
172,9.199323361986306
173,8.72867874819733
174,9.196916304424049
175,9.885773189537405
176,11.478759261126324
177,11.516453664472158
178,10.633614908049294
179,10.19859137031737
180,10.411421633852589
181,10.532027054851593
182,11.996109559367117
183,13.037435099282291
184,12.071640398219458
185,11.165088170478395
186,8.484261523790938
187,8.489275729520983
188,8.071399091056454
189,8.388724860197522
190,9.380627887498251
191,9.917663244822677
192,10.120779426569465
193,10.510166681015612
194,10.484007237530719
195,10.795024360691514
196,7.607713262599322
197,8.186491457198738
198,8.786517871846046
199,9.013626687677949
200,9.31477375365552
201,10.46939043304837
202,10.04143749344545
203,12.526780219301218
204,12.885882094698003
205,12.468104320109628
206,11.961915936884655
207,11.709914666281357
208,10.699628929767039
209,10.769519158067268
210,11.203322885277506
211,11.83703377953136
212,12.319965113792852
213,11.835096288778706
214,10.337739964062099
215,9.969202346813127
216,11.981594802922235
217,12.782254415601624
218,12.863810398005391
219,11.80156355374392
220,11.777317820281718
221,10.507319679548806
222,10.266052883965532
223,10.399336321288953
224,10.390362309101501
225,11.709373662882138
226,10.330804333126151
227,9.857670978329459
228,9.001065262724875
229,8.503445734355804
230,9.4991401972135
231,8.528914614853853
232,10.163054739978028
233,10.395475278042444
234,10.892894791057811
235,11.527247831290563
236,11.253769353216331
237,12.522806730665625
238,12.255262321271585
239,12.850516996192757
240,12.511275364387316
241,12.75433091071541
242,12.93291085319452
243,13.04465307935142
244,11.911681959892647
245,12.479637240466925
246,12.158270941250596
247,12.874191236427865
248,10.635649982908594
249,9.651621265126494
250,10.749661510979902
251,13.080173718340154
252,13.807689035566352
253,12.843315842474784
254,11.117934466478133
255,12.266137071020216
256,12.311519581222212
257,13.024343903811046
258,13.091056650069072
259,13.062935412672301
260,15.978327005397404
261,15.207615293002473
262,14.483966260498589
263,13.98652601996992
264,13.158857798269782
265,14.11927624341765
266,13.50320284878189
267,14.038344842231005
268,14.09586166148681
269,15.080882108247534
270,15.028341178174012
271,13.36287110268286
272,12.008165541958206
273,13.734493302545555
274,13.019659173644724
275,11.779141800443892
276,11.50723775046316
277,13.245053599815378
278,11.871077200913021
279,11.401812696925155
280,11.257052013897347
281,10.571599136949814
282,10.131872014200697
283,9.475796035386864
284,10.048159613403426
285,10.591210878312484
286,10.678370004531057
287,9.780079664430652
288,12.020895695178986
289,11.126592942212078
290,12.07047841868193
291,11.433092220892572
292,12.705636032410956
293,13.955059379475381
294,13.066180947978882
295,11.360919981287035
296,12.708977305104883
297,14.907533525542298
298,15.103844684049157
299,15.003427934516585
300,15.594831560497628
